nome;cil;pot;v;p;comp
maserati_asseto_corsa;3217;369;280;1590;4.51
jaguar;3996;363;250;1715;4.76
porsche_911_gt2;3600;462;315;1451;4.45
aston_martin_vanquish;5935;460;306;1863;4.67
rolls_royce_park_ward;5379;326;225;2480;5.65
mercedes_s_63_amg;6258;444;250;2035;5.16
daimler_super_v8;3996;363;250;1820;5.15
bentley_continentaal_t;6750;426;270;2450;5.22
lenux_rx_300;2995;201;180;1865;4.58
mercedes_ml_55_amg;5439;347;235;2300;4.64
range_rover;4553;218;196;2120;4.71
bmw_x5;4398;286;207;2170;4.67
bugatti_eb_164_veyron;7993;1001;404;1380;4.38
ferrari_550_maranello;5474;485;320;1690;4.55
b.enfineering_edonis;3760;680;365;1300;4.35
lamborghini_diablo;5992;550;330;162;4.47
vw_d1;6000;450;250;1750;4.95
italdesign_schighera;3000;400;310;1450;4.32
cadillac_imaj;4200;431;300;1850;5.10
chrysler_chronos;5980;350;280;1950;5.22
binz_xl;4266;279;230;2180;5.79
hooper_rolls_royce_emperor;6748;325;215;2440;5.82
american_custom_lincol;5409;380;200;2870;6.40
maybach_langversion;5600;470;250;2450;6.10
pagani_zonda_c12_s;7010;550;350;1250;4.40
morgan_aero_8;4398;286;258;1000;4.09
mega_monte_carlo;5991;395;300;1500;4.45
loteric_sirius;5987;1200;400;1380;4.12
lexus_ls430;4293;282;250;1995;5
bmw_745i;4398;333;250;1945;5
cadillac_deville_dts;4565;305;240;1843;5.26
audi_s8;4172;360;250;1730;5.03
