id;gp_disp;titulos;vitorias;pole_positions;voltas_rapidas
5A;116;1;12;6;13
2A;72;2;25;33;28
1A;204;3;23;24;23
6A;176;2;14;13;10
3A;33;1;5;5;5
8A;103;2;19;17;11
7A;126;3;14;13;12
4A;92;1;10;14;8
1B;45;1;3;4;6
2B;199;4;51;33;41
3B;161;2;20;26;25
4B;51;5;24;29;23
5B;114;1;5;5;3
6B;111;1;6;8;10
7B;128;1;12;18;10
8B;248;7;91;68;76
1C;93;0;0;0;0
1C2;123;0;10;14;9
2C;99;3;27;17;15
3C;120;1;15;14;25
4C;144;2;14;6;6
5C;187;1;31;32;30
6C;48;1;3;6;6
7C;67;0;6;2;8
8C;112;1;8;1;9
1D;161;3;41;65;19
2D;115;1;22;20;19
3D;66;0;16;16;19
4D;171;3;25;24;24
5D;111;1;10;3;5
6D;60;1;6;10;3
7D;32;2;13;14;12
8D;163;1;11;13;9
