nome;vel;hp;t;cc;type;cil;m
ford_granada_ghia_3.0;180;138;11;2993;1;6;1365
opel_diplomat_v_8;205;230;10;5354;1;8;1690
bmw_3.3_li;210;200;9;3295;0;6;1350
rolls-royce_camargue;190;200;12;6750;1;8;2347
rover_3500_s;190;141;11;3470;1;8;1360
lotus_elite_502;200;150;8;1973;0;4;1060
alfa_romeo_2000_Spider;198;131;11;1962;0;4;1045
mercedes_450_sl;215;225;9;4520;1;8;1580
panther_j_72_v_12;220;269;6;5343;1;12;1350
buick_century;170;165;12;5665;1;8;1860
chevrolet_camaro_LT;180;155;12;5657;1;8;1690
oldsmobile_98_regency;195;190;11;7325;1;8;2330
alfetta_gt;190;121;11;1779;0;4;1080
alfa_romeo_montreal;220;195;8;2593;1;8;1310
lancia_stratos;230;190;7;2418;1;6;870
citroen_cx_2200;180;112;13;2175;0;4;1280
renault_16_tx;170;93;13;1647;0;4;1100
renault_30_ts;185;131;11;2664;1;6;1320
porsche_turbo;250;260;5;2992;0;6;1140
monteverdi_hai_450_cts;290;450;5;6974;1;8;1290
fiat_130_coupe;185;165;12;3235;1;6;1600
peugeot_504_v_6_coupe;190;136;11;2664;1;6;1300
mercedes_280_ce;200;185;10;2746;0;6;1455
