nome;v;cil;t;p;com;pe
1_litre;120;300;16.1;9;3.65;290
bora;195;1984;11;116;4.376;1240
bora_stockar;280;5700;5.3;450;4.7;1250
concept_t;228;3198;6.9;265;4.12;1300
cross_fox;175;1599;11;101;4.08;1129
eco_racer;230;1484;6.3;136;3.77;1850
fox_sportiline;186;1599;10.8;101;3.804;1040
golf_gti;227;1781;7.8;180;4.147;1251
gol_power;189;1781;10.1;103;3.931;988
iroc;242;1390;7.0;210;4.24;1360
jetta;208;2480;9.6;150;4.554;1462
kombi;130;1390;16.1;57;4.505;1297
new_beetle;185;1984;10.9;116;4.129;1246
new_beetle_cabriolet;179;1896;12;107;4.129;1350
parati_track_&_field;190;1781;10.1;103;4.189;1069
phaeton;250;4921;6.9;313;5.055;2447
polo;187;1599;11.4;101;3.915;1115
polo_gti;216;1781;8.2;150;3.916;1164
saveiro_crossover;175;1781;10.2;103;4.529;1044
saveiro_supersurf;164;1596;12;97;4451;1002
sharan;192;1968;12.2;144;4.634;1752
touareg_v8;218;4172;8.1;310;4.754;2317
touareg_w12_sport;250;5998;5.9;450;4.754;2542
touran;212;1968;9.1;172;4.391;1497
