nome;ano;cap;power;vel;l
kafer;1948;1131;25;105;4070
passat_b1;1973;1297;55;150;4190
412_le_variant;1972;1679;80;155;4583
karmann_ghia_coupé_typ_14;1955;1191;30;115;4140
scirocco_1_typ;1974;1093;50;144;3855
polo_1_limousine;1975;895;40;124;3512
volkswagen_sp_2_1600;1974;1584;65;149;4217
jetta_1;1979;1093;50;142;4190
lupo;1998;997;50;152;3527
fridolin_service_bus_typ;1964;1191;34;100;3970
passat_b3;1988;1595;75;171;4570
xl1;2013;800;48;160;3888
iltis;1978;1716;75;130;3972
derby_1;1977;1093;50;141;3836
volkswagen_cc;2011;1798;160;222;4799
typ_3_1500;1961;1493;45;125;4225
corrado;1988;1781;160;225;4050
tiguan;2011;1390;160;203;4457
t1_bulli;1950;1131;25;80;4100
porche_914;1969;1679;80;186.5;3985
sharan_i;1995;1781;115;177;4620
golf_1_gti_16;1976;1588;110;182;3705
bora;1998;1390;75;171;4376
golf_iv_variant;1999;1390;75;171;4397
